path,kind,extension,codec,bytes,megabytes,width,height,longSide,duration,bitRateKbps,pixFmt,variant,workUsage,recommendation
spectathesis/asset/optimized/thesis6-mobile.webp,image,webp,webp,28114,0.028,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-7:mobile,ok
spectathesis/asset/optimized/thesis6.webp,image,webp,webp,56908,0.057,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-7:desktop,ok
spectathesis/asset/optimized/thesis7-mobile.webp,image,webp,webp,47846,0.048,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-8:mobile,ok
spectathesis/asset/optimized/thesis7.webp,image,webp,webp,101240,0.101,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-8:desktop,ok
spectathesis/asset/optimized/thesis8-mobile.webp,image,webp,webp,46338,0.046,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-9:mobile,ok
spectathesis/asset/optimized/thesis8.webp,image,webp,webp,98178,0.098,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-9:desktop,ok
spectathesis/asset/optimized/thesis9-mobile.webp,image,webp,webp,40738,0.041,1080,721,1080,,,yuv420p,mobile,specta-thesis:gallery-10:mobile,ok
spectathesis/asset/optimized/thesis9.webp,image,webp,webp,86076,0.086,1700,1134,1700,,,yuv420p,desktop/source,specta-thesis:gallery-10:desktop,ok
spectathesis/asset/spectathesis-mobile.mp4,video,mp4,h264,2250525,2.251,1080,720,1080,13.60,1324,yuv420p,mobile,specta-thesis:gallery-2:mobile,ok
spectathesis/asset/spectathesis-optimized.mp4,video,mp4,h264,3924339,3.924,1700,1134,1700,13.60,2308,yuv420p,desktop/source,specta-thesis:gallery-2:desktop,ok
spectathesis/asset/spectathesis.mp4,video,mp4,h264,11302654,11.303,1920,1280,1920,13.60,6649,yuv420p,desktop/source,,ok
spectathesis/asset/thesis1.jpg,image,jpg,mjpeg,357120,0.357,2100,1400,2100,0.04,71424,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis10.jpg,image,jpg,mjpeg,1997765,1.998,2100,1400,2100,0.04,399553,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis11.jpg,image,jpg,mjpeg,2019123,2.019,2100,1400,2100,0.04,403825,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis12.jpg,image,jpg,mjpeg,2062697,2.063,2100,1400,2100,0.04,412539,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis13.jpg,image,jpg,mjpeg,2014989,2.015,2100,1400,2100,0.04,402998,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis14.jpg,image,jpg,mjpeg,1939524,1.940,2100,1400,2100,0.04,387905,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis15.jpg,image,jpg,mjpeg,1820173,1.820,2100,1400,2100,0.04,364035,yuvj444p,desktop/source,,convert-webp
spectathesis/asset/thesis16.jpg,image,jpg,mjpeg,2010871,2.011,2100,1400,2100,0.04,402174,yuvj444p,desktop/source,,convert-webp
